date, name, place
9/13/2019, Jamiracle Connection Jamsession, "Vetomat, Berlin"
8/16/2019,Rogiers BBQ-Jam mit Extra-Sören ,"in der Hasenheide, Berlin"
8/11/2019,Geburtstagsjamsession ,"Tempelhofer Feld, Berlin"
8/9/2019,Jamiracle Connection Jamsession ,"Vetomat, Berlin"
7/19/2019,Jamiracle Connection Jamsession ,"Vetomat, Berlin"
6/21/2019,Jamiracle Connection Jamsession ,"Vetomat, Berlin"
24.05 2019 ,Jamiracle Connection Jamsession ,"Vetomat, Berlin"
5/10/2019,Jamiracle Connection Jamsession ,"Vetomat, Berlin"
3/16/2019,5 Jahre Cello Crossing! Stefanie John und Gäste,"Kesselhaus Kulturbrauerei, Berlin"
12/22/2018,Mit Martin Herzberg – Live in Bremen ,"Die Glocke, Bremen"
12/21/2018,Mit Martin Herzberg & Ensemble – Live in Hamburg," Laeiszhalle, Hamburg"
12/14/2018,Mit Martin Herzberg & Ensemble – Live in Berlin-Potsdam ,"Nikolaisaal, Potsdam"
12/2/2018,Mit Martin Herzberg – Ein Schlosskonzert live in Chemnitz ,"Wasserschloss Klaffenbach, Chemnitz"
12/1/2018,Mit Martin Herzberg und Stefanie John – Live in Leipzig,"Kupfersaal, Leipzig"
11/25/2018,Mit Martin Herzberg – Ein Schlosskonzert live in Nürnberg ,"Pellerschloss Fischbach, Nürnberg"
11/24/2018,Mit Martin Herzberg – Live in München,"St. Barbara Kirche, München"
11/22/2018,Mit Martin Herzberg und Stefanie John – Ein Konzert unter Sternen live in Stuttgart,Planetarium Stuttgart
11/21/2018,Mit Martin Herzberg – Ein bewegendes Schlosskonzert live in Saarbrücken,Schloss Saarbrücken
11/20/2018,Mit Martin Herzberg – Live in Frankfurt,"Titania, Frankfurt."
11/18/2018,Mit Martin Herzberg und Stefanie John – Live in Düsseldorf II,"Garather Schlosskapelle, Düsseldorf"
11/17/2018,Mit Martin Herzberg und Stefanie John – Live in Düsseldorf I,"Garather Schlosskapelle, Düsseldorf"
11/15/2018,Mit Martin Herzberg und Stefanie John – Ein Konzert unter Sternen in Bochum III,Planetarium Bochum
11/14/2018,Mit Martin Herzberg und Stefanie John – Ein Konzert unter Sternen Bochum II,Planetarium Bochum
11/13/2018,Mit Martin Herzberg und Stefanie John – Ein Konzert unter Sternen Bochum I,Planetarium Bochum
10/14/2018,"Mit Martin Herzberg – Ein Abend, eine Reise, ein Konzert","Musikschule Klangart – Kulturen in der Werkstatt, Rennerod"
10/13/2018,Mit Martin Herzberg – Live in Aachen,"Klangbrücke im alten Kurhaus, Aachen"
10/12/2018,Mit Martin Herzberg – Live in Münster,"Freie Waldorfschule, Münster"
10/10/2018,Mit Martin Herzberg – Live in Bonn,"Klavierhaus Klavins, Bonn"
10/9/2018,Mit Martin Herzberg – Live in Osnabrück,"Lagerhalle e.V., Osnabrück"
10/7/2018,Mit Martin Herzberg – Live in Kassel,"Anthroposophisches Zentrum, Kassel"
10/6/2018,Mit Martin Herzberg – Live in Gießen,"Hermann-Levi-Saal, Gießen"
10/5/2018,Mit Martin Herzberg – Live in Wuppertal,
9/29/2018,Dreiklang Konzert – Ein einmaliges Konzert-Event,"Maschinenhaus Kulturbrauerei, Berlin"
5/19/2018,Mit Martin Herzberg – Live in Rostock,"Barocksaal, Rostock"
5/18/2018,Mit Martin Herzberg – Live in Braunschweig,"Kulturzentrum Brunsviga, Braunschweig"
5/6/2018,Mit Martin Herzberg – Live in Dresden,"Ballhaus Watzke, Dresden"
5/5/2018,Mit Martin Herzberg – Live in Regensburg,"Haus der Musik, Regensburg"
5/5/2018,Mit Martin Herzberg – Live in Ulm,"Haus der Begegnung, Ulm"
5/1/2018,Mit Martin Herzberg – Live in Freiburg,"Kapelle Peter und Paul, Freiburg"
4/30/2018,Mit Martin Herzberg – Live in Mannheim+,"Bürgerhaus Neckarstadt, Mannheim"
4/24/2018,Mit Martin Herzberg – Live in Magdeburg,"Gesellschaftshaus Schinkelsaal, Magdeburg"
4/21/2018,Mit Martin Herzberg – Live in Halle,"Händel-Haus, Halle"
4/20/2018,Mit Martin Herzberg – Live in Erfurt,"Haus Dacheroeden, Erfurt"
4/24/2018,Mit Martin Herzberg – Live in Bielefeld,"Rudolf-Oetker-Halle, Bielefeld"
2/18/2018,Mit Martin Herzberg – Live in St. Gallen,"Hotelgig in Roggwil, St. Gallen (CH)"
